conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword
2054724765567558045,Thu May 14 10:56:41 +0000 2026,2,@DudeRafay60339 YA bro kita masih sangat bergantung pada ekspor komoditas tambang dan hasil hutan. Hilirisasi yg dijalankan masih setengah matang . Artinya kita baru berhasil mengolah bahan mentah mjd barang setengah jadi spt ferronickel atau slab baja bukan barang jadi bernilai jual tinggi,2054878562768114126,,DudeRafay60339,in,,0,1,0,https://x.com/undefined/status/2054878562768114126,325599485,,Baterai EV
1693188495387574490,Thu May 14 05:31:56 +0000 2026,5,DATANG BYD Company Ltd merilis BYD Great Tang SUV listrik ukuran penuh (7-seater) thn 2026 yg menampilkan arsitektur 1000V Baterai Blade generasi kedua dan jangkauan CLTC hingga 950 km. Dipasarkan di China mulai sekitar 250.000 320.000 RMB menawarkan pengisian cepat 10C https://t.co/l3ESHxOF4r,2054796837417365851,https://pbs.twimg.com/media/HIQaoy8bMAATNtF.jpg,eddesign_,in,,0,1,2,https://x.com/undefined/status/2054796837417365851,325599485,,Baterai EV
2054554327122067475,Wed May 13 13:33:08 +0000 2026,2,investasi lintas sektor. Breakdown Sektor Kesimpulan Strategis - Tidak ada pergantian total arisan: Singapura tetap juara bertahan China masih dominan di hilirisasi &amp; baterai EV. - Prabowo diversifikasi: memberi kemudahan ke AS menjaga bargaining dengan China membuka https://t.co/opUdB24jGL,2054555547232583836,https://pbs.twimg.com/media/HIM_XuvacAIrtNB.jpg,Rahadi0816,in,,0,0,2,https://x.com/undefined/status/2054555547232583836,1611567480992043008,,Baterai EV
2054554327122067475,Wed May 13 13:31:30 +0000 2026,2, karpet merah untuk AS diplomasi awal dengan Rusia Singapura tetap gateway stabil. Dinamika Era Prabowo - China: Masih dominan di hilirisasi nikel &amp; baterai EV tapi menghadapi regulasi ketat (royalti DHE RKAB pajak visa TKA). - AS: Mendapat kemudahan lewat Reciprocal https://t.co/wMz5OXHEKG,2054555134089425406,https://pbs.twimg.com/media/HIM_AIvb0AA9Rb_.jpg,Rahadi0816,in,,0,0,2,https://x.com/undefined/status/2054555134089425406,1611567480992043008,,Baterai EV
2054512534615720110,Wed May 13 10:42:13 +0000 2026,0,Hyundai Sambut Positif Rencana Insentif untuk EV Berbasis Baterai Nikel https://t.co/vdpQG3etJq,2054512534615720110,,,in,,0,0,0,https://x.com/undefined/status/2054512534615720110,2392460208,,Baterai EV
2054457364657688694,Wed May 13 07:03:00 +0000 2026,2,Pemerintah menyiapkan stimulus kendaraan listrik atau electric vehicle (EV) sebagai salah satu strategi untuk mendorong pertumbuhan ekonomi nasional pada semester II 2026. Menteri Keuangan Purbaya Yudhi Sadewa meyakini pertumbuhan ekonomi Indonesia dapat melampaui 5 5% pada https://t.co/ySN6Q6Ryzg,2054457364657688694,https://pbs.twimg.com/media/HILBB71a4AAhmyR.jpg,,in,,0,0,0,https://x.com/undefined/status/2054457364657688694,786549338818224128,,Baterai EV
2054426024079962605,Wed May 13 04:58:28 +0000 2026,0,BYD Respons Purbaya Soal Insentif EV Baterai Nikel Lebih Besar https://t.co/0Ke0Bd2Feg,2054426024079962605,,,in,,0,0,0,https://x.com/undefined/status/2054426024079962605,17128975,,Baterai EV
2054422101377880201,Wed May 13 04:42:52 +0000 2026,0,Sebelum Beli EV Ketahui Dampak Cuaca Ekstrem pada Baterai https://t.co/jWo0OxUUgy,2054422101377880201,,,in,,0,0,0,https://x.com/undefined/status/2054422101377880201,118371948,,Baterai EV
2054206806650691862,Tue May 12 14:27:22 +0000 2026,2,BYD Dukung Pemerintah Beri Insentif EV yang Menggunakan Baterai Nikel https://t.co/EwNaZUrp4g,2054206806650691862,,,in,,0,1,0,https://x.com/undefined/status/2054206806650691862,2392460208,,Baterai EV
2054192815517958312,Tue May 12 13:31:46 +0000 2026,0,EV dengan Baterai Nikel Dapat Insentif Lebih BYD: Nikel atau LFP Tujuannya Sama https://t.co/XLApwlR96V,2054192815517958312,,,in,,0,0,0,https://x.com/undefined/status/2054192815517958312,80543284,,Baterai EV
